"file","original_bytes","optimized_bytes","candidate_bytes","saved_bytes","optimized","method","reason","webp_file","webp_bytes","webp_saved_bytes","webp_created","webp_reason","pdf_file","pdf_bytes","pdf_saved_bytes","pdf_created","pdf_reason"
"figures/catch-by-fishery-fits.png",271626,114787,114787,156839,TRUE,"pngquant","lossy PNG quality 50-78","figures/catch-by-fishery-fits.webp",238742,0,FALSE,"WebP candidate larger than PNG","",NA,0,FALSE,"PDF JPEG disabled"
"figures/catch-by-fishery-residuals.png",281037,116326,116326,164711,TRUE,"pngquant","lossy PNG quality 50-78","figures/catch-by-fishery-residuals.webp",244500,0,FALSE,"WebP candidate larger than PNG","",NA,0,FALSE,"PDF JPEG disabled"
"figures/cpue-fits.png",459961,148121,148121,311840,TRUE,"pngquant","lossy PNG quality 50-78","figures/cpue-fits.webp",160604,0,FALSE,"WebP candidate larger than PNG","",NA,0,FALSE,"PDF JPEG disabled"
"figures/cpue-regional-share.png",162344,66073,66073,96271,TRUE,"pngquant","lossy PNG quality 50-78","figures/cpue-regional-share.webp",123008,0,FALSE,"WebP candidate larger than PNG","",NA,0,FALSE,"PDF JPEG disabled"
"figures/cpue-residuals.png",544532,169208,169208,375324,TRUE,"pngquant","lossy PNG quality 50-78","figures/cpue-residuals.webp",167094,2114,TRUE,"WebP quality 66","",NA,0,FALSE,"PDF JPEG disabled"
"figures/depletion-by-area.png",638791,180068,180068,458723,TRUE,"pngquant","lossy PNG quality 50-78","figures/depletion-by-area.webp",178328,1740,TRUE,"WebP quality 66","",NA,0,FALSE,"PDF JPEG disabled"
"figures/f-area-contribution.png",174390,57467,57467,116923,TRUE,"pngquant","lossy PNG quality 50-78","figures/f-area-contribution.webp",97252,0,FALSE,"WebP candidate larger than PNG","",NA,0,FALSE,"PDF JPEG disabled"
"figures/f-juvenile-adult-by-area.png",580262,182561,182561,397701,TRUE,"pngquant","lossy PNG quality 50-78","figures/f-juvenile-adult-by-area.webp",152568,29993,TRUE,"WebP quality 66","",NA,0,FALSE,"PDF JPEG disabled"
"figures/fishery-process.png",238794,98282,98282,140512,TRUE,"pngquant","lossy PNG quality 50-78","figures/fishery-process.webp",208490,0,FALSE,"WebP candidate larger than PNG","",NA,0,FALSE,"PDF JPEG disabled"
"figures/fishery-selectivity-length.png",238794,98282,98282,140512,TRUE,"pngquant","lossy PNG quality 50-78","figures/fishery-selectivity-length.webp",208490,0,FALSE,"WebP candidate larger than PNG","",NA,0,FALSE,"PDF JPEG disabled"
"figures/fishery-selectivity-weight.png",238794,98282,98282,140512,TRUE,"pngquant","lossy PNG quality 50-78","figures/fishery-selectivity-weight.webp",208490,0,FALSE,"WebP candidate larger than PNG","",NA,0,FALSE,"PDF JPEG disabled"
"figures/growth-curve.png",247901,84346,84346,163555,TRUE,"pngquant","lossy PNG quality 50-78","figures/growth-curve.webp",123662,0,FALSE,"WebP candidate larger than PNG","",NA,0,FALSE,"PDF JPEG disabled"
"figures/key-quantities.png",501445,163302,163302,338143,TRUE,"pngquant","lossy PNG quality 50-78","figures/key-quantities.webp",160432,2870,TRUE,"WebP quality 66","",NA,0,FALSE,"PDF JPEG disabled"
"figures/kobe-plot.png",167734,54410,54410,113324,TRUE,"pngquant","lossy PNG quality 50-78","figures/kobe-plot.webp",95160,0,FALSE,"WebP candidate larger than PNG","",NA,0,FALSE,"PDF JPEG disabled"
"figures/length-frequency-residuals.png",1209698,271450,271450,938248,TRUE,"pngquant","lossy PNG quality 50-78","figures/length-frequency-residuals.webp",245508,25942,TRUE,"WebP quality 66","",NA,0,FALSE,"PDF JPEG disabled"
"figures/length-frequency.png",340978,73536,73536,267442,TRUE,"pngquant","lossy PNG quality 50-78","figures/length-frequency.webp",269024,0,FALSE,"WebP candidate larger than PNG","",NA,0,FALSE,"PDF JPEG disabled"
"figures/majuro-plot.png",167734,54410,54410,113324,TRUE,"pngquant","lossy PNG quality 50-78","figures/majuro-plot.webp",95160,0,FALSE,"WebP candidate larger than PNG","",NA,0,FALSE,"PDF JPEG disabled"
"figures/maturity-at-age.png",198502,71412,71412,127090,TRUE,"pngquant","lossy PNG quality 50-78","figures/maturity-at-age.webp",119218,0,FALSE,"WebP candidate larger than PNG","",NA,0,FALSE,"PDF JPEG disabled"
"figures/natural-mortality-at-age.png",194983,71229,71229,123754,TRUE,"pngquant","lossy PNG quality 50-78","figures/natural-mortality-at-age.webp",117868,0,FALSE,"WebP candidate larger than PNG","",NA,0,FALSE,"PDF JPEG disabled"
"figures/population-biology.png",155521,55277,55277,100244,TRUE,"pngquant","lossy PNG quality 50-78","figures/population-biology.webp",99042,0,FALSE,"WebP candidate larger than PNG","",NA,0,FALSE,"PDF JPEG disabled"
"figures/recruitment-by-area.png",512488,169963,169963,342525,TRUE,"pngquant","lossy PNG quality 50-78","figures/recruitment-by-area.webp",160760,9203,TRUE,"WebP quality 66","",NA,0,FALSE,"PDF JPEG disabled"
"figures/region-map.png",151845,70113,70113,81732,TRUE,"pngquant","lossy PNG quality 50-78","figures/region-map.webp",29176,40937,TRUE,"WebP quality 66","",NA,0,FALSE,"PDF JPEG disabled"
"figures/regional-movement.png",208699,77320,77320,131379,TRUE,"pngquant","lossy PNG quality 50-78","figures/regional-movement.webp",212902,0,FALSE,"WebP candidate larger than PNG","",NA,0,FALSE,"PDF JPEG disabled"
"figures/spawning-potential-with-without-fishing.png",465616,139636,139636,325980,TRUE,"pngquant","lossy PNG quality 50-78","figures/spawning-potential-with-without-fishing.webp",144166,0,FALSE,"WebP candidate larger than PNG","",NA,0,FALSE,"PDF JPEG disabled"
"figures/tag-attrition-all.png",219522,76839,76839,142683,TRUE,"pngquant","lossy PNG quality 50-78","figures/tag-attrition-all.webp",122612,0,FALSE,"WebP candidate larger than PNG","",NA,0,FALSE,"PDF JPEG disabled"
"figures/tag-attrition-by-program.png",227352,83755,83755,143597,TRUE,"pngquant","lossy PNG quality 50-78","figures/tag-attrition-by-program.webp",127010,0,FALSE,"WebP candidate larger than PNG","",NA,0,FALSE,"PDF JPEG disabled"
"figures/tag-attrition-by-region.png",238838,85976,85976,152862,TRUE,"pngquant","lossy PNG quality 50-78","figures/tag-attrition-by-region.webp",131032,0,FALSE,"WebP candidate larger than PNG","",NA,0,FALSE,"PDF JPEG disabled"
"figures/tag-returns-all.png",282917,99529,99529,183388,TRUE,"pngquant","lossy PNG quality 50-78","figures/tag-returns-all.webp",141258,0,FALSE,"WebP candidate larger than PNG","",NA,0,FALSE,"PDF JPEG disabled"
"figures/tag-returns-by-group.png",250992,96085,96085,154907,TRUE,"pngquant","lossy PNG quality 50-78","figures/tag-returns-by-group.webp",203644,0,FALSE,"WebP candidate larger than PNG","",NA,0,FALSE,"PDF JPEG disabled"
"figures/tagging-dynamics.png",243039,98641,98641,144398,TRUE,"pngquant","lossy PNG quality 50-78","figures/tagging-dynamics.webp",207422,0,FALSE,"WebP candidate larger than PNG","",NA,0,FALSE,"PDF JPEG disabled"
"figures/total-biomass-with-without-fishing.png",469573,139540,139540,330033,TRUE,"pngquant","lossy PNG quality 50-78","figures/total-biomass-with-without-fishing.webp",146420,0,FALSE,"WebP candidate larger than PNG","",NA,0,FALSE,"PDF JPEG disabled"
"figures/total-catch-fits.png",211037,77424,77424,133613,TRUE,"pngquant","lossy PNG quality 50-78","figures/total-catch-fits.webp",130390,0,FALSE,"WebP candidate larger than PNG","",NA,0,FALSE,"PDF JPEG disabled"
"figures/total-catch-residuals.png",249610,86101,86101,163509,TRUE,"pngquant","lossy PNG quality 50-78","figures/total-catch-residuals.webp",140528,0,FALSE,"WebP candidate larger than PNG","",NA,0,FALSE,"PDF JPEG disabled"
