"item_key","type","id","label","section","caption","optional","default_formats","input_state","state_hash","setup_summary","include","placement"
"figure:aspm-diagnostics","figure","aspm-diagnostics","ASPM diagnostics","ASPM","ASPM diagnostics for the 2026 bigeye tuna assessment. Lines compare the reference fitted model against the age-structured production model run with length- and weight-composition influence excluded.",TRUE,"png,pdf","","","",FALSE,"exclude"
"figure:catch-by-fishery-fits","figure","catch-by-fishery-fits","Catch observed and fitted by fishery","Catch","Catch observed and fitted by fishery for the 2026 bigeye tuna assessment. The figure uses the labels, colours, facets, and legends shown in the plot to identify scenarios, fisheries, regions, years, or diagnostics selected in mfclshiny. It is generated from the Catch view.",FALSE,"png,pdf","","","",TRUE,"auto"
"figure:catch-by-fishery-residuals","figure","catch-by-fishery-residuals","Catch residuals by fishery","Catch","Catch residuals by fishery for the 2026 bigeye tuna assessment. The figure uses the labels, colours, facets, and legends shown in the plot to identify scenarios, fisheries, regions, years, or diagnostics selected in mfclshiny. It is generated from the Catch view.",FALSE,"png,pdf","","","",TRUE,"auto"
"figure:total-catch-fits","figure","total-catch-fits","Total catch observed and fitted","Catch","Total catch observed and fitted for the 2026 bigeye tuna assessment. The figure uses the labels, colours, facets, and legends shown in the plot to identify scenarios, fisheries, regions, years, or diagnostics selected in mfclshiny. It is generated from the Catch view.",FALSE,"png,pdf","","","",TRUE,"auto"
"figure:total-catch-residuals","figure","total-catch-residuals","Total catch residuals","Catch","Total catch residuals for the 2026 bigeye tuna assessment. The figure uses the labels, colours, facets, and legends shown in the plot to identify scenarios, fisheries, regions, years, or diagnostics selected in mfclshiny. It is generated from the Catch view.",FALSE,"png,pdf","","","",TRUE,"auto"
"figure:cpue-fits","figure","cpue-fits","CPUE observed and fitted","CPUE","Observed and fitted CPUE for the 2026 bigeye tuna assessment. Points show observed index values and fitted lines show model predictions; facets and legends identify selected fisheries, CPUE series, and assessment models.",FALSE,"png,pdf","","","",TRUE,"auto"
"figure:cpue-regional-share","figure","cpue-regional-share","CPUE regional share","CPUE","Regional CPUE share compared with regional biomass share for the 2026 bigeye tuna assessment. Bars compare the regional distribution of the selected CPUE series and CPUE scaling target with the selected biomass basis, highlighting scale or spatial consistency across regions.",FALSE,"png,pdf","","","",TRUE,"auto"
"figure:cpue-residuals","figure","cpue-residuals","CPUE residuals","CPUE","CPUE residuals for the 2026 bigeye tuna assessment. Values show observed minus fitted CPUE for selected index fisheries; facets and colours, line styles, or legends identify assessment models and CPUE series.",FALSE,"png,pdf","","","",TRUE,"auto"
"figure:fishery-process","figure","fishery-process","Fishery selectivity at age","Fishery Process Dynamics","Age-based fishery selectivity for the 2026 bigeye tuna assessment. Curves show estimated selectivity by age class for selected fisheries; facets and legends identify fisheries and assessment models.",FALSE,"png,pdf","","","",TRUE,"auto"
"figure:fishery-selectivity-length","figure","fishery-selectivity-length","Fishery selectivity at length","Fishery Process Dynamics","Length-based fishery selectivity for the 2026 bigeye tuna assessment. Curves show estimated selectivity by length for selected fisheries; facets and legends identify fisheries and assessment models.",FALSE,"png,pdf","","","",TRUE,"auto"
"figure:fishery-selectivity-weight","figure","fishery-selectivity-weight","Fishery selectivity at weight","Fishery Process Dynamics","Weight-based fishery selectivity for the 2026 bigeye tuna assessment. Curves show estimated selectivity by weight for selected fisheries; facets and legends identify fisheries and assessment models.",FALSE,"png,pdf","","","",TRUE,"auto"
"figure:regional-movement","figure","regional-movement","Regional movement","Fishery Process Dynamics","Estimated quarterly regional movement for the 2026 bigeye tuna assessment. Matrix cells show movement probabilities from origin to destination regions; facets identify quarters or assessment models where available.",FALSE,"png,pdf","","","",TRUE,"auto"
"figure:jitter-derived-quantities","figure","jitter-derived-quantities","Jitter derived quantities","Jitter","Jitter derived-quantity diagnostics for the 2026 bigeye tuna assessment. Lines or panels summarize variation in selected derived quantities across jitter runs.",TRUE,"png,pdf","","","",FALSE,"exclude"
"figure:jitter-diagnostics","figure","jitter-diagnostics","Jitter diagnostics","Jitter","Jitter convergence diagnostics for the 2026 bigeye tuna assessment. Points and reference lines summarize objective-function values, gradients, and convergence status across jitter runs.",TRUE,"png,pdf","","","",FALSE,"exclude"
"figure:jitter-parameters","figure","jitter-parameters","Jitter parameters","Jitter","Jitter parameter diagnostics for the 2026 bigeye tuna assessment. The figure compares selected input or final parameter values across jitter runs to identify instability or alternative optima.",TRUE,"png,pdf","","","",FALSE,"exclude"
"figure:f-area-contribution","figure","f-area-contribution","Area contribution to fishing mortality","Key Quantities","Regional contribution to total annual instantaneous fishing mortality for the 2026 bigeye tuna assessment. Stacked or faceted values show how each model area contributes to total F through time for the selected assessment models.",FALSE,"png,pdf","","","",TRUE,"auto"
"figure:depletion-by-area","figure","depletion-by-area","Depletion by area","Key Quantities","Dynamic spawning depletion by model region for the 2026 bigeye tuna assessment. Panels or line groups identify model areas, and colours identify selected assessment models so regional depletion patterns can be compared through time.",FALSE,"png,pdf","","","",TRUE,"auto"
"figure:f-juvenile-adult-by-area","figure","f-juvenile-adult-by-area","Juvenile and adult fishing mortality by area","Key Quantities","Juvenile and adult annual instantaneous fishing mortality by model region for the 2026 bigeye tuna assessment. Panels or line groups separate juvenile and adult components and identify regional differences through time.",FALSE,"png,pdf","","","",TRUE,"auto"
"figure:key-quantities","figure","key-quantities","Key quantities","Key Quantities","Key derived quantities for the 2026 bigeye tuna assessment. Panels show dynamic spawning depletion (SB/SB[F=0]), recruitment, spawning potential, and annual instantaneous fishing mortality through time. Lines identify the selected assessment models; colours or line styles distinguish models when multiple scenarios are plotted. The depletion panel includes dashed reference lines at 0.2 and 0.5.",FALSE,"png,pdf","","","",TRUE,"auto"
"figure:kobe-plot","figure","kobe-plot","Kobe plot","Key Quantities","Kobe stock-status trajectory for the 2026 bigeye tuna assessment. Points and connecting paths show the trajectory through time relative to biomass and fishing-intensity reference axes; colours identify selected assessment models.",FALSE,"png,pdf","","","",TRUE,"auto"
"figure:majuro-plot","figure","majuro-plot","Majuro plot","Key Quantities","Majuro stock-status trajectory for the 2026 bigeye tuna assessment. Points and connecting paths show depletion and fishing intensity through time; colours identify selected assessment models and reference zones aid stock-status interpretation.",FALSE,"png,pdf","","","",TRUE,"auto"
"figure:recruitment-by-area","figure","recruitment-by-area","Recruitment by area","Key Quantities","Estimated annual recruitment by model region for the 2026 bigeye tuna assessment. Panels or line groups identify model areas, and colours identify selected assessment models so spatial recruitment patterns can be compared through time.",FALSE,"png,pdf","","","",TRUE,"auto"
"figure:spawning-potential-with-without-fishing","figure","spawning-potential-with-without-fishing","Spawning potential with and without fishing","Key Quantities","Spawning potential with and without fishing for the 2026 bigeye tuna assessment. Lines compare estimated fishing conditions with no-fishing reference conditions through time for the selected assessment models.",FALSE,"png,pdf","","","",TRUE,"auto"
"figure:total-biomass-with-without-fishing","figure","total-biomass-with-without-fishing","Total biomass with and without fishing","Key Quantities","Total biomass with and without fishing for the 2026 bigeye tuna assessment. Lines compare estimated fishing conditions with no-fishing reference conditions through time for the selected assessment models.",FALSE,"png,pdf","","","",TRUE,"auto"
"figure:length-frequency","figure","length-frequency","Length-frequency fits","Length Frequency","Observed and fitted length-frequency samples for the 2026 bigeye tuna assessment. Bars show observed sample counts and fitted overlays show model predictions; panels identify selected fisheries and years, and colours, line styles, or legends identify assessment models.",FALSE,"png,pdf","","","",TRUE,"auto"
"figure:length-frequency-fishery-1-01-ll-west-1","figure","length-frequency-fishery-1-01-ll-west-1","Length-frequency fits: 01.LL.WEST.1","Length Frequency","Observed and fitted length-frequency samples for 01.LL.WEST.1 in the 2026 bigeye tuna assessment. Bars show observed sample counts by length bin and fitted lines show model predictions; panels identify selected years and colours, line styles, or legends identify assessment models.",TRUE,"png,pdf","","","",FALSE,"exclude"
"figure:length-frequency-fishery-2-02-ll-east-1","figure","length-frequency-fishery-2-02-ll-east-1","Length-frequency fits: 02.LL.EAST.1","Length Frequency","Observed and fitted length-frequency samples for 02.LL.EAST.1 in the 2026 bigeye tuna assessment. Bars show observed sample counts by length bin and fitted lines show model predictions; panels identify selected years and colours, line styles, or legends identify assessment models.",TRUE,"png,pdf","","","",FALSE,"exclude"
"figure:length-frequency-fishery-3-03-ll-us-1","figure","length-frequency-fishery-3-03-ll-us-1","Length-frequency fits: 03.LL.US.1","Length Frequency","Observed and fitted length-frequency samples for 03.LL.US.1 in the 2026 bigeye tuna assessment. Bars show observed sample counts by length bin and fitted lines show model predictions; panels identify selected years and colours, line styles, or legends identify assessment models.",TRUE,"png,pdf","","","",FALSE,"exclude"
"figure:length-frequency-fishery-4-04-ll-all-2","figure","length-frequency-fishery-4-04-ll-all-2","Length-frequency fits: 04.LL.ALL.2","Length Frequency","Observed and fitted length-frequency samples for 04.LL.ALL.2 in the 2026 bigeye tuna assessment. Bars show observed sample counts by length bin and fitted lines show model predictions; panels identify selected years and colours, line styles, or legends identify assessment models.",TRUE,"png,pdf","","","",FALSE,"exclude"
"figure:length-frequency-fishery-5-05-ll-os-2","figure","length-frequency-fishery-5-05-ll-os-2","Length-frequency fits: 05.LL.OS.2","Length Frequency","Observed and fitted length-frequency samples for 05.LL.OS.2 in the 2026 bigeye tuna assessment. Bars show observed sample counts by length bin and fitted lines show model predictions; panels identify selected years and colours, line styles, or legends identify assessment models.",TRUE,"png,pdf","","","",FALSE,"exclude"
"figure:length-frequency-fishery-6-06-ll-arch-3","figure","length-frequency-fishery-6-06-ll-arch-3","Length-frequency fits: 06.LL.ARCH.3","Length Frequency","Observed and fitted length-frequency samples for 06.LL.ARCH.3 in the 2026 bigeye tuna assessment. Bars show observed sample counts by length bin and fitted lines show model predictions; panels identify selected years and colours, line styles, or legends identify assessment models.",TRUE,"png,pdf","","","",FALSE,"exclude"
"figure:length-frequency-fishery-7-07-ll-west-3","figure","length-frequency-fishery-7-07-ll-west-3","Length-frequency fits: 07.LL.WEST.3","Length Frequency","Observed and fitted length-frequency samples for 07.LL.WEST.3 in the 2026 bigeye tuna assessment. Bars show observed sample counts by length bin and fitted lines show model predictions; panels identify selected years and colours, line styles, or legends identify assessment models.",TRUE,"png,pdf","","","",FALSE,"exclude"
"figure:length-frequency-fishery-8-08-ll-east-3","figure","length-frequency-fishery-8-08-ll-east-3","Length-frequency fits: 08.LL.EAST.3","Length Frequency","Observed and fitted length-frequency samples for 08.LL.EAST.3 in the 2026 bigeye tuna assessment. Bars show observed sample counts by length bin and fitted lines show model predictions; panels identify selected years and colours, line styles, or legends identify assessment models.",TRUE,"png,pdf","","","",FALSE,"exclude"
"figure:length-frequency-fishery-9-09-ll-os-3","figure","length-frequency-fishery-9-09-ll-os-3","Length-frequency fits: 09.LL.OS.3","Length Frequency","Observed and fitted length-frequency samples for 09.LL.OS.3 in the 2026 bigeye tuna assessment. Bars show observed sample counts by length bin and fitted lines show model predictions; panels identify selected years and colours, line styles, or legends identify assessment models.",TRUE,"png,pdf","","","",FALSE,"exclude"
"figure:length-frequency-fishery-10-10-ll-all-5","figure","length-frequency-fishery-10-10-ll-all-5","Length-frequency fits: 10.LL.ALL.5","Length Frequency","Observed and fitted length-frequency samples for 10.LL.ALL.5 in the 2026 bigeye tuna assessment. Bars show observed sample counts by length bin and fitted lines show model predictions; panels identify selected years and colours, line styles, or legends identify assessment models.",TRUE,"png,pdf","","","",FALSE,"exclude"
"figure:length-frequency-fishery-11-11-ll-au-5","figure","length-frequency-fishery-11-11-ll-au-5","Length-frequency fits: 11.LL.AU.5","Length Frequency","Observed and fitted length-frequency samples for 11.LL.AU.5 in the 2026 bigeye tuna assessment. Bars show observed sample counts by length bin and fitted lines show model predictions; panels identify selected years and colours, line styles, or legends identify assessment models.",TRUE,"png,pdf","","","",FALSE,"exclude"
"figure:length-frequency-fishery-12-12-ps-jp-1","figure","length-frequency-fishery-12-12-ps-jp-1","Length-frequency fits: 12.PS.JP.1","Length Frequency","Observed and fitted length-frequency samples for 12.PS.JP.1 in the 2026 bigeye tuna assessment. Bars show observed sample counts by length bin and fitted lines show model predictions; panels identify selected years and colours, line styles, or legends identify assessment models.",TRUE,"png,pdf","","","",FALSE,"exclude"
"figure:length-frequency-fishery-13-13-pl-jp-1","figure","length-frequency-fishery-13-13-pl-jp-1","Length-frequency fits: 13.PL.JP.1","Length Frequency","Observed and fitted length-frequency samples for 13.PL.JP.1 in the 2026 bigeye tuna assessment. Bars show observed sample counts by length bin and fitted lines show model predictions; panels identify selected years and colours, line styles, or legends identify assessment models.",TRUE,"png,pdf","","","",FALSE,"exclude"
"figure:length-frequency-fishery-14-14-hl-id-2","figure","length-frequency-fishery-14-14-hl-id-2","Length-frequency fits: 14.HL.ID.2","Length Frequency","Observed and fitted length-frequency samples for 14.HL.ID.2 in the 2026 bigeye tuna assessment. Bars show observed sample counts by length bin and fitted lines show model predictions; panels identify selected years and colours, line styles, or legends identify assessment models.",TRUE,"png,pdf","","","",FALSE,"exclude"
"figure:length-frequency-fishery-15-15-hl-ph-2","figure","length-frequency-fishery-15-15-hl-ph-2","Length-frequency fits: 15.HL.PH.2","Length Frequency","Observed and fitted length-frequency samples for 15.HL.PH.2 in the 2026 bigeye tuna assessment. Bars show observed sample counts by length bin and fitted lines show model predictions; panels identify selected years and colours, line styles, or legends identify assessment models.",TRUE,"png,pdf","","","",FALSE,"exclude"
"figure:length-frequency-fishery-16-16-pl-all-2","figure","length-frequency-fishery-16-16-pl-all-2","Length-frequency fits: 16.PL.ALL.2","Length Frequency","Observed and fitted length-frequency samples for 16.PL.ALL.2 in the 2026 bigeye tuna assessment. Bars show observed sample counts by length bin and fitted lines show model predictions; panels identify selected years and colours, line styles, or legends identify assessment models.",TRUE,"png,pdf","","","",FALSE,"exclude"
"figure:length-frequency-fishery-17-17-ps-id-2","figure","length-frequency-fishery-17-17-ps-id-2","Length-frequency fits: 17.PS.ID.2","Length Frequency","Observed and fitted length-frequency samples for 17.PS.ID.2 in the 2026 bigeye tuna assessment. Bars show observed sample counts by length bin and fitted lines show model predictions; panels identify selected years and colours, line styles, or legends identify assessment models.",TRUE,"png,pdf","","","",FALSE,"exclude"
"figure:length-frequency-fishery-18-18-ps-ph-2","figure","length-frequency-fishery-18-18-ps-ph-2","Length-frequency fits: 18.PS.PH.2","Length Frequency","Observed and fitted length-frequency samples for 18.PS.PH.2 in the 2026 bigeye tuna assessment. Bars show observed sample counts by length bin and fitted lines show model predictions; panels identify selected years and colours, line styles, or legends identify assessment models.",TRUE,"png,pdf","","","",FALSE,"exclude"
"figure:length-frequency-residuals","figure","length-frequency-residuals","Length-frequency residuals","Length Frequency","Length-frequency bubble residuals for the 2026 bigeye tuna assessment. Bubble size and sign show observed-minus-fitted residual structure by length bin, fishery, and year for the selected assessment models.",FALSE,"png,pdf","","","",TRUE,"auto"
"figure:length-frequency-residuals-fishery-1-01-ll-west-1","figure","length-frequency-residuals-fishery-1-01-ll-west-1","Length-frequency residuals: 01.LL.WEST.1","Length Frequency","Length-frequency bubble residuals for 01.LL.WEST.1 in the 2026 bigeye tuna assessment. Bubble size and sign show observed-minus-fitted residual structure by length bin; panels identify selected years and colours, line styles, or legends identify assessment models.",TRUE,"png,pdf","","","",FALSE,"exclude"
"figure:length-frequency-residuals-fishery-2-02-ll-east-1","figure","length-frequency-residuals-fishery-2-02-ll-east-1","Length-frequency residuals: 02.LL.EAST.1","Length Frequency","Length-frequency bubble residuals for 02.LL.EAST.1 in the 2026 bigeye tuna assessment. Bubble size and sign show observed-minus-fitted residual structure by length bin; panels identify selected years and colours, line styles, or legends identify assessment models.",TRUE,"png,pdf","","","",FALSE,"exclude"
"figure:length-frequency-residuals-fishery-3-03-ll-us-1","figure","length-frequency-residuals-fishery-3-03-ll-us-1","Length-frequency residuals: 03.LL.US.1","Length Frequency","Length-frequency bubble residuals for 03.LL.US.1 in the 2026 bigeye tuna assessment. Bubble size and sign show observed-minus-fitted residual structure by length bin; panels identify selected years and colours, line styles, or legends identify assessment models.",TRUE,"png,pdf","","","",FALSE,"exclude"
